"","X1","X2","value"
"174",2002,57.5,0.131788186931397
"175",2003,57.5,0.154729681132159
"176",2004,57.5,0.127188495184104
"177",2005,57.5,0.212850913157063
"178",2006,57.5,0.421404568284318
"179",2007,57.5,0.297209399981705
"180",2008,57.5,0.205350880751277
"181",2009,57.5,0.240437139625035
"182",2010,57.5,0.131022081189213
"183",2011,57.5,0.132498288055863
"184",2012,57.5,0.0781282358893699
"185",2013,57.5,0.133467021849523
"186",2014,57.5,0.208587299990225
"187",2015,57.5,0.0634723842983378
"188",2016,57.5,0.114523033456126
"189",2017,57.5,0.125143635358738
"190",2018,57.5,0.305815663279449
"191",2019,57.5,0.303759287412305
"192",2021,57.5,0.145646520643077
"193",1989,62.5,0
"194",1990,62.5,0
"195",1991,62.5,0
"196",1992,62.5,0
"197",1993,62.5,0
"198",1994,62.5,0
"199",1995,62.5,0
"200",1996,62.5,0
"201",1997,62.5,0
"202",1998,62.5,0
"203",1999,62.5,0
"204",2000,62.5,0
"205",2001,62.5,0
"206",2002,62.5,0
"207",2003,62.5,0
"208",2004,62.5,0
"209",2005,62.5,0
"210",2006,62.5,0
"211",2007,62.5,0
"212",2008,62.5,0
"213",2009,62.5,0
"214",2010,62.5,0
"215",2011,62.5,0
"216",2012,62.5,0
"217",2013,62.5,0
"218",2014,62.5,0
"219",2015,62.5,0
"220",2016,62.5,0
"221",2017,62.5,0
"222",2018,62.5,0
"223",2019,62.5,0
"224",2021,62.5,0
"225",1989,67.5,0
"226",1990,67.5,0
"227",1991,67.5,0
"228",1992,67.5,0
"229",1993,67.5,0
"230",1994,67.5,0
"231",1995,67.5,0
"232",1996,67.5,0
"233",1997,67.5,0
"234",1998,67.5,0
"235",1999,67.5,0
"236",2000,67.5,0
"237",2001,67.5,0
"238",2002,67.5,0
"239",2003,67.5,0
"240",2004,67.5,0
"241",2005,67.5,0
"242",2006,67.5,0
"243",2007,67.5,0
"244",2008,67.5,0
"245",2009,67.5,0
"246",2010,67.5,0
"247",2011,67.5,0
"248",2012,67.5,0
"249",2013,67.5,0
"250",2014,67.5,0
"251",2015,67.5,0
"252",2016,67.5,0
"253",2017,67.5,0
"254",2018,67.5,0
"255",2019,67.5,0
"256",2021,67.5,0
"257",1989,72.5,0
"258",1990,72.5,0
"259",1991,72.5,0
"260",1992,72.5,0
"261",1993,72.5,0
"262",1994,72.5,0
"263",1995,72.5,0
"264",1996,72.5,0
"265",1997,72.5,0
"266",1998,72.5,0
"267",1999,72.5,0
"268",2000,72.5,0
"269",2001,72.5,0
"270",2002,72.5,0
"271",2003,72.5,0
"272",2004,72.5,0
"273",2005,72.5,0
"274",2006,72.5,0
"275",2007,72.5,0
"276",2008,72.5,0
"277",2009,72.5,0
"278",2010,72.5,0
"279",2011,72.5,0
"280",2012,72.5,0
"281",2013,72.5,0
"282",2014,72.5,0
"283",2015,72.5,0
"284",2016,72.5,0
"285",2017,72.5,0
"286",2018,72.5,0
"287",2019,72.5,0
"288",2021,72.5,0
"289",1989,77.5,0
"290",1990,77.5,0
"291",1991,77.5,0
"292",1992,77.5,0
"293",1993,77.5,0
"294",1994,77.5,0
"295",1995,77.5,0
"296",1996,77.5,0
"297",1997,77.5,0
"298",1998,77.5,0
"299",1999,77.5,0
"300",2000,77.5,0
"301",2001,77.5,0
"302",2002,77.5,0
"303",2003,77.5,0
"304",2004,77.5,0
"305",2005,77.5,0
"306",2006,77.5,0
"307",2007,77.5,0
"308",2008,77.5,0
"309",2009,77.5,0
"310",2010,77.5,0
"311",2011,77.5,0
"312",2012,77.5,0
"313",2013,77.5,0
"314",2014,77.5,0
"315",2015,77.5,0
"316",2016,77.5,0
"317",2017,77.5,0
"318",2018,77.5,0
"319",2019,77.5,0
"320",2021,77.5,0
"321",1989,82.5,0
"322",1990,82.5,0
"323",1991,82.5,0
"324",1992,82.5,0
"325",1993,82.5,0
"326",1994,82.5,0
"327",1995,82.5,0
"328",1996,82.5,0
"329",1997,82.5,0
"330",1998,82.5,0
"331",1999,82.5,0
"332",2000,82.5,0
"333",2001,82.5,0
"334",2002,82.5,0
"335",2003,82.5,0
"336",2004,82.5,0
"337",2005,82.5,0
"338",2006,82.5,0
"339",2007,82.5,0
"340",2008,82.5,0
"341",2009,82.5,0
"342",2010,82.5,0
"343",2011,82.5,0
"344",2012,82.5,0
"345",2013,82.5,0
"346",2014,82.5,0
"347",2015,82.5,0
"348",2016,82.5,0
"349",2017,82.5,0
"350",2018,82.5,0
"351",2019,82.5,0
"352",2021,82.5,0
"353",1989,87.5,0
"354",1990,87.5,0
"355",1991,87.5,0
"356",1992,87.5,0
"357",1993,87.5,0
"358",1994,87.5,0
"359",1995,87.5,0
"360",1996,87.5,0
"361",1997,87.5,0
"362",1998,87.5,0
"363",1999,87.5,0
"364",2000,87.5,0
"365",2001,87.5,0
"366",2002,87.5,0
"367",2003,87.5,0
"368",2004,87.5,0
"369",2005,87.5,0
"370",2006,87.5,0
"371",2007,87.5,0
"372",2008,87.5,0
"373",2009,87.5,0
"374",2010,87.5,0
"375",2011,87.5,0
"376",2012,87.5,0
"377",2013,87.5,0
"378",2014,87.5,0
"379",2015,87.5,0
"380",2016,87.5,0
"381",2017,87.5,0
"382",2018,87.5,0
"383",2019,87.5,0
"384",2021,87.5,0
"385",1989,92.5,0
"386",1990,92.5,0
"387",1991,92.5,0
"388",1992,92.5,0
"389",1993,92.5,0
"390",1994,92.5,0
"391",1995,92.5,0
"392",1996,92.5,0
"393",1997,92.5,0
"394",1998,92.5,0
"395",1999,92.5,0
"396",2000,92.5,0
"397",2001,92.5,0
"398",2002,92.5,0
"399",2003,92.5,0
"400",2004,92.5,0
"401",2005,92.5,0
"402",2006,92.5,0
"403",2007,92.5,0
"404",2008,92.5,0
"405",2009,92.5,0
"406",2010,92.5,0
"407",2011,92.5,0
"408",2012,92.5,0
"409",2013,92.5,0
"410",2014,92.5,0
"411",2015,92.5,0
"412",2016,92.5,0
"413",2017,92.5,0
"414",2018,92.5,0
"415",2019,92.5,0
"416",2021,92.5,0
"417",1989,97.5,0
"418",1990,97.5,0
"419",1991,97.5,0
"420",1992,97.5,0
"421",1993,97.5,0
"422",1994,97.5,0
"423",1995,97.5,0
"424",1996,97.5,0
"425",1997,97.5,0
"426",1998,97.5,0
"427",1999,97.5,0
"428",2000,97.5,0
"429",2001,97.5,0
"430",2002,97.5,0
"431",2003,97.5,0
"432",2004,97.5,0
"433",2005,97.5,0
"434",2006,97.5,0
"435",2007,97.5,0
"436",2008,97.5,0
"437",2009,97.5,0
"438",2010,97.5,0
"439",2011,97.5,0
"440",2012,97.5,0
"441",2013,97.5,0
"442",2014,97.5,0
"443",2015,97.5,0
"444",2016,97.5,0
"445",2017,97.5,0
"446",2018,97.5,0
"447",2019,97.5,0
"448",2021,97.5,0
